name,link,images,description,address,distance_to_city_center,star,rating,num_reviews,price
"Hotel Berlin, Berlin, a member of Radisson Individuals",https://www.agoda.com/en-gb/hotel-berlin-berlin/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://pix8.agoda.net/hotelImages/287410/-1/f995e2e781d708102e4759d87b269b50.jpg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/669651455.jpg?k=33ad9298e7c72ab75bb7e74e843041398371dd6b45be5ae3117b1081783df03f', 'https://pix8.agoda.net/hotelImages/287410/0/3f5704cb853b57b7ef89c23857143edf.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/287410/0/5548e5964b95c98be713de96c31822a3.jpg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/727510972.jpg?k=ba78579bd128e7f54dd958dbf85ed846b64aebcf0b688bb2bb54bc5f572401d2', 'https://pix8.agoda.net/hotelImages/287410/0/b195a19761f0ef3ce58c16c58bd479b9.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/287410/0/3df95327989fe347b42d83d7dc2bc449.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/287410/-1/79b30ae51d872e45f64e37ece72a7993.jpg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/472654923.jpg?k=76dba63662894a9b5859a60fdedd10f6c3bd37a87264e30b87aad77ca81a6df5', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/666957909.jpg?k=d52f7fe65ed5ffb76fd73e32712380c08b5f0e4da7fa0e18715cde6b1151c292']","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Tiergarten part of Berlin, this property puts you close to attractions and interesting dining options. Rated with 4.5 stars, this high-quality property provides guests with access to restaurant, fitness center and spa on-site.","Luetzowplatz 17, Tiergarten, Berlin, Germany, 10785",0.082,4.5,8.2,466,103.0
Premier Inn Berlin Airport,https://www.agoda.com/en-gb/premier-inn-berlin-airport/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://pix8.agoda.net/hotelImages/77570096/0/df781908fa945783c0c4eb1b0afada2e.jpg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356978.jpg?k=4f561aa5c0112c090545304b037fb5116e573e4e3ee93c27a2daa89e9a649663', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356701.jpg?k=f0c96c3d03cb2d4059b16bdd33f37058c8c5ebc406d6a6fb1d10bcca3870045b', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356702.jpg?k=557a1c7f12ca35704bb9ab7dca17ac7b1aabb266f887e771bdf56b4a610136a4', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356709.jpg?k=d872ae58f3aabb9f9e935f0a395b1ef740eafcea24d029ec004c2b2d8fcf42f6', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356713.jpg?k=d798ab31d3ef3cfd02b2ba30ac0f7f2a3434e3f9f541dc00d2d838178d55251c', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356708.jpg?k=c69bc0fed63c41c47900fc29592c7fa5dbc7a7719f8775483c259dd7e9d64f8c', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356704.jpg?k=38f7fdc564bd36b63de6279d832ab15916266631e0774b691db8ba80b7768b2e', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356714.jpg?k=2cadd06423bd8bfc6cf2551373ca5adba460f771a390dbc3659508269b6f388b', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468356975.jpg?k=8196f83f639c163545a80f3b75aa4f2bd1be7f663e627bb8442b053a19baedb4']","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Airport Berlin-Schonefeld part of Berlin, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Brandenburg Gate (Brandenburger Tor). This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Alexander-Meissner-Str.2, Airport Berlin-Schonefeld, Berlin, Germany, 12526",14.3,3.0,8.6,8061,60.0
SO/ Berlin Das Stue,https://www.agoda.com/en-gb/so-berlin-das-stue_4/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://pix8.agoda.net/hotelImages/21601785/461221027/c115926d5271d5c369d2cc0f06b6308b.jpeg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/345193009.jpg?k=a78812d7d413f805528261851bb4400623d960c07bfb6481a2e80c2d8c910b3d', 'https://pix8.agoda.net/hotelImages/21601785/0/66587d1236861778bb4ec7fc51b8fc0a.jpeg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/345193083.jpg?k=79ebaed8c066c51db6b3532613fa8be642fb603a97da272f8cd66daca1c163c4', 'https://pix8.agoda.net/hotelImages/21601785/0/95c0c6434f8cdd8ba4b65e0145da3dae.jpeg?ce=2', 'https://pix8.agoda.net/hotelImages/21601785/0/7ebcc8f9ad740ea56fe2805a604ed254.jpeg?ce=2', 'https://pix8.agoda.net/hotelImages/21601785/0/622302fed9d394ed3f4a86cb5a1743fb.jpeg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/221290561.jpg?k=8d463a57b30e7662be6a4bcd9d77c5201db690573a5e64e906732c830861c82c', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/15188792.jpg?k=50050c960951cb9aae57f7c1351a9c426ef4418ea3a17ba07d1773071e119494', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/468024295.jpg?k=8f89e3437f7be85ea88fd2c0c6568320f62279cbf15ce93eed1a9950aa624f3a']","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Tiergarten, allowing you access and proximity to local attractions and sights. Rated with 5 stars, this high-quality property provides guests with access to massage, restaurant and fitness center on-site.","Drakestrasse 1, Tiergarten, Berlin, Germany, 10787",0.0,5.0,9.5,7,332.0
Park Inn by Radisson Berlin Alexanderplatz,https://www.agoda.com/en-gb/park-inn-by-radisson-berlin-alexanderplatz/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&tspTypes=7&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://pix8.agoda.net/hotelImages/9455355/0/2fedd1b01c1613d3334b32619e81c7fc.jpg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/419380037.jpg?k=98f4e4c7e4a60b0882eb54876fee53f26784bf4b8081630ccdd28ca2ffc64abe', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/177862142.jpg?k=3b16910bfa28da249b22e00e3f05f056fce4082c7fa9b8d7f9ed5eb2e493d8d7', 'https://pix8.agoda.net/hotelImages/111/11130/11130_16082219020045694125.jpg?ca=6&ce=1', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/623815721.jpg?k=48ba6b528376532dcd8f075ccb31b682072147fa5aabe32cc2108d9bac32519d', 'https://pix8.agoda.net/hotelImages/111/11130/11130_16082219230045695042.jpg?ca=6&ce=1', 'https://pix8.agoda.net/hotelImages/9455355/0/85f2e0b8268970950bab6ee27d1d7056.jpg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/177706136.jpg?k=a252a7a100727f1e54005711e5867b5c070d1b63bb4ff05ee64abc2ac1748e85', 'https://pix8.agoda.net/hotelImages/9455355/0/bf26e91a4f0e8feafca8d874dd132a13.jpeg?ce=2', 'https://pix8.agoda.net/hotelImages/9455355/0/1d3727498e9913d31108fd867d2bd999.jpeg?ce=2', 'https://cdn6.agoda.net/images/icons/agoda-preferred.svg']","Located in Berlin's vibrant Mitte district, Park Inn by Radisson Berlin Alexanderplatz offers two travelers an ideal base to explore trendy boutiques, art galleries, and dynamic nightlife. Just 101 meters from Alexanderplatz and close to Die Hackeschen Hoefe, the hotel provides easy access to iconic landmarks such as the TV Tower and Berlin Cathedral. Guests can unwind in the steam room, enjoy cocktails at the bar, or join expertly guided tours arranged on-site. Modern, air-conditioned rooms with complimentary Wi-Fi and stunning city views in select units ensure a relaxing stay. [Some content may be Generative AI assisted. Inaccuracies may occur.]","Alexanderplatz 7, Mitte, Berlin, Germany, 10178",0.0,4.5,8.1,3099,102.0
The Posthouse Berlin Potsdamer Platz – Leonardo Limited Edition,https://www.agoda.com/en-gb/crowne-plaza-berlin-potsdamer-platz/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://pix8.agoda.net/hotelImages/910406/0/a5ce0215df05c1cc1e4dc7da59e8e38f.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/910406/999793374/a0c9ce2835c7eddc45c3f7c71ad2aaa8.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/73403266/0/72ffb490debd96efd1111672f12a272e.jpeg?ce=2', 'https://pix8.agoda.net/hotelImages/910406/0/22bfdf21995735ebc0961022bc21295b.jpg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/750315396.jpg?k=323e8d76dfcc486dbefaa30a4a1c67f3026a724ea1f19401f738f0909fac0bd8', 'https://pix8.agoda.net/hotelImages/73403266/0/4f6858ed5aee8716af22a99c7c58e774.jpeg?ce=2', 'https://pix8.agoda.net/hotelImages/73403266/0/0319899940234cb5087e5bae0f2c8f44.jpeg?ce=2', 'https://pix8.agoda.net/property/39411509/653042962/6d899e46457043b7ca58b9c5154cd6f5.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/910406/0/7b8ceff70af5ac74fb3203676a6e48b3.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/73403266/0/ce7c4c6792d39e9518b9118614efcc8e.jpeg?ce=2']",,"Hallesche Str. 10-14, Kreuzberg, Berlin, Germany, 10963",0.3,4.0,8.7,5123,105.0
Ocak Hotel,https://www.agoda.com/en-gb/ocak-hotel/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://pix8.agoda.net/hotelImages/18932450/0/9d06a8bbfdb5e2bcc661f5c32a188dcf.jpeg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/273092566.jpg?k=c9ffce4de9145282894ccaa58cea1858e7557d8d658c718b37f12c3b0e8b6004', 'https://pix8.agoda.net/property/18932450/0/09cfa38cd204d0d74208a6395242a9a8.jpeg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/316876628.jpg?k=66c0b9f62a143e4eae4594086aad7d8f6de95dde48a3622906e7d41544d99c2e', 'https://pix8.agoda.net/property/18932450/0/b88f7ad41851f123ed9338ce4b06abc0.jpeg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/316876624.jpg?k=94a0433c422f2f08bb0ff332d3030eefb92e8acde058f23aaa97d1daf36c587a', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/701105603.jpg?k=382d3a9ba3596c7eeaaeba9ec81917fc17ad675fac9ad85af22159613aebd298', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/273092463.jpg?k=dc17f11c18647bdc9588cb100158989204e7ee19af81dba731a73cb0299eda39', 'https://pix8.agoda.net/property/18932450/0/49ac8c799ae2a7c46ef277fe7f887db1.jpeg?ce=2', 'https://pix8.agoda.net/property/18932450/0/2f6651d3bb05cd8cae34d4b14b2fbfae.jpeg?ce=2']","Ocak Hotel in Mitte offers modern luxury and local charm, featuring an on-site shopping mall and a restaurant by renowned chefs. Overlooking a serene inner courtyard, it's a tranquil retreat moments from Berlin's iconic attractions, perfect for two travelers seeking an urban escape. Mitte blends history and modernity, featuring iconic landmarks, trendy boutiques, and a vibrant arts scene. At Ocak Hotel, enjoy access to a relaxing sauna and a lively bar. Accommodations prioritize comfort, offering air conditioning, free Wi-Fi, and private balconies with stunning city or night views. Explore the lively Mauerpark Flea Market just 1.4 km away and the historic Berlin Wall within 1.9 km, inviting you to delve into Berlin's rich history. [Some content may be Generative AI assisted. Inaccuracies may occur.]","Behmstraße 27, Mitte, Berlin, Germany, 13357",0.8,4.0,8.4,5094,108.0
smartments Berlin Prenzlauer Berg,https://www.agoda.com/en-gb/smartments-business-berlin-prenzlauer-berg/hotel/all/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&tspTypes=4&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://q-xx.bstatic.com/xdata/images/hotel/max500/355215758.jpg?k=04d7933a720edb5f1cc3f1e44a120a7a3ebce45803332da02702cd7a2f78d77d', 'https://pix8.agoda.net/property/2569177/0/ec64c0a3ef054159ad8ff6f91240b025.jpeg?ce=0', 'https://pix8.agoda.net/property/2569177/0/40c763d5c3be4afc4112fbe98b716115.jpeg?ce=0', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/355215755.jpg?k=f6e824f3c3d0e4764d8d3d0391bc5141813d559f70d5cb6b8556cc3a18c787f3', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/306097861.jpg?k=d32921047b5257a6fe36a97455192ac8c6a8ca889f0dc6905be8c385ce5d0df8', 'https://pix8.agoda.net/property/2569177/0/9edfc4666c5e1c8df28d9dbc2e40acbb.jpeg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/129762719.jpg?k=8af212ab76e457c371648cb50006a5bd743df6299889cd0b5a03713661d39829', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/355215751.jpg?k=e1c01d7cfdfc0fc6dee42d5211f215a2b4797510d55d19cb1a36dedf90e6bc0f', 'https://pix8.agoda.net/property/2569177/0/905faf7ce15ae6414c1ec0616f7dfc70.jpeg?ce=0', 'https://pix8.agoda.net/property/2569177/0/ee3e566580b8b10c51699dcba64018c6.jpeg?ce=0']","Conveniently situated in the Prenzlauer Berg part of Berlin, this property puts you close to attractions and interesting dining options. This 4-star property is packed with in-house facilities to improve the quality and joy of your stay.","Storkower Straße 156A, Prenzlauer Berg, Berlin, Germany, 10407",1.9,4.0,8.4,2802,70.0
Premier Inn Berlin City Wilmersdorf,https://www.agoda.com/en-gb/premier-inn-berlin-city-wilmersdorf-h50231294/hotel/all/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://q-xx.bstatic.com/xdata/images/hotel/max500/466660340.jpg?k=33bff31b598da99129b3748238c855481ea5ee6f7990efa13a0ea8e355c818d6', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466668674.jpg?k=3399fe8a5dac0d812b6f07c5d697dae6b38b762ceda4180d01fa0b0b99542b54', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466669053.jpg?k=90f39ca2fa260cebfc105693d6f573d0455e9ad3b716b883105f50609bbab476', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466669058.jpg?k=babbc8569e33b367751d0f4dc2ef693f6a29f2f7c1190e7800a1233babd4d923', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466669060.jpg?k=e4cc2de1db19d5e4f50ecd69aed42d98725883c9247fc4ebc4c8166fb2c0bd20', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466669045.jpg?k=e4e537a5e3c14cb2f78bad7f905db7e987a38f0a8d79f882d62ac491db92d89c', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466669046.jpg?k=f35d432c32c3ba265dffcedc8c6028a8e591558bbcd4cdafa52e695f6872923c', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466669055.jpg?k=1729c26470e16ae0540dd469ac709b088973479cef448d40c157ae3b98102704', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/466669056.jpg?k=9dc52fa32c96c1efd2b50268b31a0bde478488605f93614c6c97e62992a02f61', 'https://pix8.agoda.net/property/50231294/0/6d1239399456e1d4901cf6472aac2ddc.jpeg?ce=2']","Conveniently situated in the Wilmersdorf part of Berlin, this property puts you close to attractions and interesting dining options. This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","14 Bundesallee, Wilmersdorf, Berlin, Germany, 10719",0.5,3.0,8.6,2433,71.0
Leonardo Hotel Berlin,"https://www.agoda.com/en-gb/leonardo-hotel-berlin/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&tspTypes=9,8&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd","['https://pix8.agoda.net/hotelImages/149943/13230330/e550c9f379d0917c0cbb9c8b6a160bab.jpg?ce=0', 'https://pix8.agoda.net/hotelImages/5083510/1154071880/a4e9a8337bf8f6c2bca2c42e63ed7518.jpeg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/739446435.jpg?k=c82e12f890028a838b775b12d328b5397843d1de6a2f92a54c7e7db3a5b0c96c', 'https://pix8.agoda.net/hotelImages/5083510/0/051884618f78a7b675f87ef1076ae634.jpeg?ce=2', 'https://pix8.agoda.net/hotelImages/5083510/0/237fec83544d09896e3bb441edfcc7c7.jpeg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/739446505.jpg?k=589f9309c187978b582022a4a11dd0da4ec2ed5a17f317b95cfa337154ea0727', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/739446430.jpg?k=0477365c2f73a90055b87c048cdf9f2869240c3b42e296711159119ff62e1f08', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/739446437.jpg?k=6bf5068a3976bdf4d776c7bc754f1ecb711481dde5850ae37ba62a2db04a665f', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/739446470.jpg?k=3a47328568e160c5da316e8155b1919e26886a2c1de368e539cc8b70df7a831a', 'https://pix8.agoda.net/hotelImages/5083510/1150514318/b155b82f74210764e03d04abefbff850.jpeg?ce=2']","Discover convenience and comfort at Leonardo Hotel Berlin. Perfect for two travelers, this stylish property in Charlottenburg offers air conditioning, complimentary Wi-Fi, and luxurious toiletries in clean and cozy rooms. Enjoy delicious meals at the on-site restaurant and unwind at the stylish bar. With tour booking services and friendly staff, your stay will be hassle-free. Explore attractions like Charlottenburg Palace and Kurfürstendamm Boulevard just steps away. Experience value and comfort at Leonardo Hotel Berlin. [Some content may be Generative AI assisted. Inaccuracies may occur.]","Wilmersdorfer Str. 32, Charlottenburg, Berlin, Germany, 10585",0.7,3.5,8.4,10855,77.0
ipartment Berlin Airport,https://www.agoda.com/en-gb/ipartment-berlin-airport/hotel/berlin-de.html?countryId=101&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=EUR&isFreeOccSearch=false&los=4&searchrequestid=70d176ee-4dcc-4ecb-a0a7-fd0cd79313cd,"['https://pix8.agoda.net/hotelImages/67604444/0/dbdf769347cd9cb7e93c31f13592a953.jpg?ce=0', 'https://pix8.agoda.net/property/47326066/758623107/710c4ff2722ba109597460ec7276ac74.jpeg?ce=0', 'https://pix8.agoda.net/property/67604444/0/376f97bf256ae8885f6d72831874b837.jpeg?ce=2', 'https://pix8.agoda.net/hotelImages/67604444/0/99ab32a1044e6f8ffea1fe13fbe58e6b.jpg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/444860031.jpg?k=e99f6ab65931774c18fa90926e2e1b33cfaef68419b6d49c3e30a748c14e6f5d', 'https://pix8.agoda.net/property/67604444/0/1b1ab1b38b588f0e1d740bcf9383aae0.jpeg?ce=2', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/444854791.jpg?k=03496093d55a51dcba25f67a15377bd9fa18a22668cc48356e9ee7a7aee07a37', 'https://q-xx.bstatic.com/xdata/images/hotel/max500/444854778.jpg?k=365d20b586e483d4a19333c381a61faa326c4427c55b148670969bdb15ef74c3', 'https://pix8.agoda.net/property/67604444/0/29049affce8d04a09d20a98270e32006.jpeg?ce=2', 'https://pix8.agoda.net/property/47326066/758623108/f08f4724d3a73d5b8b2cbb3f57cc0188.jpeg?ce=0']","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Airport Berlin-Schonefeld part of Berlin, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Brandenburg Gate (Brandenburger Tor). This 4-star property is packed with in-house facilities to improve the quality and joy of your stay.","Am Flughafen 11, Airport Berlin-Schonefeld, Berlin, Germany, 12529",16.3,4.0,8.6,2685,54.0
