name,link,images,description,address,distance_to_city_center,star,rating,num_reviews,price
Berlin Marriott Hotel,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']","Indulge yourself with a lavish stay in Germany at the Berlin Marriott Hotel. Our stylishly designed family hotel offers a modern interpretation of the Bauhaus style right in the heart of Berlin. Experience residential-like, comfortable guest rooms with novel platform beds as well as innovative technology and amenities like energy-saving and particularly hygienic circulating air cooling units. As a ""LiYu"" certified hotel, we also provide a variety of amenities and services tailored for our Chinese guests to experience throughout their stay. Fuel up with delectable food and the finest of steaks at the Midtown Grill or enjoy delicious hot dogs and a variety of craft beers from The Big Dog. Explore downtown Berlin from our well-situated business hotel near Potsdamer Platz, Brandenburg Gate and Tiergarten park. Our exceptional customizable event spaces and conference rooms are a perfect fit for your meeting or wedding needs. Let us make your stay at our pet-friendly hotel in Berlin unforgettable!","Inge-Beisheim-Platz 1, 10785, Berlin, Germany",0.6,5.0,9.0,9055,177.0
Hampton by Hilton Berlin City Centre Alexanderplatz,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']","Daily Mandatory Charge includes: City Tax 7.5% on net logis per room /night. Right in the heart of the city, surrounded by famous attractions, you’ll find the Hampton by Hilton Berlin City Centre Alexanderplatz hotel. With the nearest train station just a 5 minute walk from our hotel, it’s easy to see the sights. Spend a night on the town in the entertainment district. Experience panoramic views of the city at the TV Tower and discover Berlin’s vibrant nightlife in various bars and restaurants. Shuttle service is available by reservation. Each day of your stay in Alexanderplatz is off to a great start with our hot breakfast included in your stay, featuring all your favorites including eggs, beans, waffles, fruit and more. Stop by the 24/7 Hub when you have a late night craving. Unwind in a spacious room with a 40-inch HDTV, free WiFi and an inviting armchair with ottoman. Rest peacefully on a clean and comfy bed. Make tea and coffee right in your own room. Ask our friendly team about connecting rooms and accessible room options.","OTTO-BRAUN-STRASSE 69, 10178, Berlin, Germany",2.9,3.0,8.4,23575,111.0
INNSiDE by Meliá Berlin Mitte,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']",N/A,N/A,1.9,4.0,8.4,13378,74.0
Eurostars Berlin,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']","Great care is taken to ensure guests experience comfort through top-notch services and amenities. Stay connected with your associates, as complimentary Wi-Fi is available during your entire visit.To facilitate your arrival and departure, you can pre-book airport transfer services prior to checking in.The hotel offers taxi amenities to assist you in discovering your desired offerings in Berlin. When arriving by car, take advantage of the hotel's convenient on-site parking facilities.The hotel offers reception amenities including concierge service, luggage storage and safety deposit boxes to ensure a comfortable stay for guests.Should you require assistance, the ticket service and tours can also aid in booking tickets and securing reservations at the finest shows and events in the vicinity.Whether it's an extended stay or simply needing fresh attire, dry cleaning service and laundry service provided by hotel ensures your cherished travel garments stay spotless and accessible.Your stay will be comfortable with the presence of room service and daily housekeeping as an in-room amenity for your relaxation and enjoyment. To ensure the well-being and convenience of all visitors, smoking is strictly prohibited throughout the entire hotel.In order to ensure the utmost level of relaxation, the guestrooms feature an inviting design and are equipped with all basic necessities, creating a delightful stay experience. To ensure a pleasant stay, a selection of rooms at hotel come furnished with linen service, blackout curtains and air conditioning, all designed with your ease in mind.In select rooms, visitors can enjoy a touch of amusement with the availability of television and cable TV for their entertainment needs.Within specific rooms, a refrigerator, a coffee or tea maker and mini bar is conveniently available for your use.Understanding the significance of bathroom facilities in enhancing visitor contentment, hotel offers a hair dryer, toiletries and bathrobes within a few chosen chambers. Start your day stress-free at Eurostars Berlin as breakfast is made available for you on the premises. Various excellent meal offerings at hotel ensure that enticing and easily accessible options are constantly available.Upon your arrival, don't miss experiencing bar for enjoyable in-house evening entertainment. Visitors wishing to create their personal culinary delights will appreciate the on-site shared kitchen provided at this establishment. Throughout the day, engage in the entertaining activities available at Eurostars Berlin. Make sure to discover the readily available beach at hotel.Unwind effortlessly each day by exploring the steam room, conveniently situated within the hotel.Guests who enjoy maintaining their fitness regimen while on holiday can visit the fitness center provided by hotel.","Friedrichstraße 99, 10117, Berlin, Germany",0.8,5.0,8.5,13074,117.0
The Westin Grand Berlin,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']",N/A,N/A,0.7,5.0,8.7,16246,192.0
Victor's Residenz-Hotel Berlin Mitte,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']","Direkt gegenüber vom Volkspark Friedrichshain befindet sich das mit vier Sternen ausgezeichnete Victor's Residenz-Hotel Berlin. Es präsentiert sich mit einer modernen Glasfassade sowie einem klassischen Interieur. Insgesamt verfügt das Haus über 133 Zimmer und Suiten. Diese sind mit Pay-TV, kostenlosem WLAN, einem Schreibtisch, einer Sitzecke und einer Telefon-Flatrate ausgestattet. Die Annehmlichkeiten im Victor's Residenz-Hotel Berlin-Mitte umfassen sechs Tagungs- beziehungsweise Veranstaltungsräume, gebührenpflichtige Stellplätze in der eigenen Tiefgarage, eine Terrasse sowie einen begrünten Innenhof. Gegen Aufpreis ist zudem die Mitnahme von Haustieren erlaubt. Geschmackvoll genießen nach Victor’s Art: In unserem Frühstücksrestaurant starten Sie mit einem reichhaltigen Buffet perfekt in einen erlebnisreichen Tag. Bei schönem Wetter können Sie nach Gusto auch in unserem mediterran angelegten Innenhof Platz nehmen. Am Abend empfangen wir Sie in unserer stilvollen Victor’s Bar - mit Drinks, Snacks und ausgewählten Sport-Highlights live bei Sky und DAZN. Die Bushaltestelle Bötzowstraße befindet sich nur eine Gehminute entfernt. Von hier aus beträgt die Fahrtzeit zum Alexanderplatz acht Minuten. Den Hackeschen Markt erreicht man mit dem Bus in einer Viertelstunde.","Am Friedrichshain 17, 10407, Berlin, Germany",3.7,4.0,8.5,13497,89.0
NH Berlin Alexanderplatz,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']","Set in Berlin’s hip artistic district of Friedrichshain, NH Berlin Alexanderplatz is well-connected to all of the city’s top attractions. Across the street, guests will find the Volkspark Friedrichshain Park, while coffee shops and beer gardens are just down the street. Take a 10-minute tram ride to Alexanderplatz square from the Klinikum im Friedrichshain stop. The Strausberger Platz metro station is only a short walk away. If driving, the hotel has an underground parking garage. NH Berlin Alexanderplatz also has a lot of surprises for its guests, such as the 50,000 bees that the hotel keeps on the roof. There are 225 modern stylish rooms that are equipped with free Wi-Fi and were renovated in 2018. Some have a lovely view of the Frankfurter Tor Square or the TV tower. For lunch and dinner, head to the hotel’s restaurant, which features international cuisine. During good weather, enjoy your meal on the summer terrace. Otherwise, relax on a cozy sofa in front of the fireplace, with a great German beer and light bites at our bar. The hotel also has spa facilities, with a steam room, sauna,infrared sauna, wellness showers, fitness area and foot-bath. For meetings, there are 12 function rooms.","Landsberger Allee 26, 10249, Berlin, Germany",4.1,4.0,8.4,9153,96.0
Waldorf Astoria Berlin,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']","The Waldorf Astoria Berlin welcomes its guests in the heart of Berlin’s City West with contemporary luxury combined with unparalleled Waldorf Service. 232 generous rooms and suites provide quiet comfort in an eclectic mix of warm colors and modern Art Deco style. Guests experience an air of refined exclusivity at Germany’s first Waldorf Astoria Spa. ROCA offers an all-day, dining experience featuring seasonal Eastern Mediterranean cuisine while the Library Lounge on the 15th floor is exclusively reserved for hotel guests. Epic views and sophisticated ambiance are constant companions, while Berlin’s legendary shopping boulevard Kurfuerstendamm is just a stroll away.","Hardenbergstrasse 28, 10623, Berlin, Germany",3.2,5.0,9.0,7960,306.0
Premier Inn Berlin Alexanderplatz,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']","Our stylish Premier Inn Berlin Alexanderplatz hotel is ideal if you’re looking for great-value hotels in Berlin. Thanks to our handy location just a five-minute walk away from Alexanderplatz, you’ll have some of Berlin’s top attractions right on your doorstep when you stay with us. Families can enjoy days out with the kids in Berlin at spots like Little BIG City, while culture-lovers can see the famous Berliner Fernsehturm and World Time Clock – two of the most popular places to visit in Berlin – before exploring the scenic Gendarmenmarkt square. After exciting days out in Berlin, you can look forward to laid-back evenings at our bar and restaurant, before enjoying a great night’s sleep on one of our super-comfy beds.","Theanolte-Baehnisch-Strasse 2, 10178, Berlin, Germany",2.8,3.0,8.3,5058,80.0
Pullman Berlin Schweizerhof,,"['https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/d0/8d/15f376e2af7e393785318326f6790cd1f6f5108a2e734263234b5d2d660d.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/79/c3/f50cd8a9366fba9b5bd193a0190a28d21936a01399fa8ca1efcab3dee314.jpeg', 'https://imgcy.trivago.com/c_fill,d_dummy.jpeg,e_sharpen:60,f_auto,h_267,q_40,w_400/partner-images/c8/70/479624665836bedc4da378df43f63c10c1025bdd95969dac5866d2caff14.jpeg']",N/A,N/A,2.5,5.0,8.9,13671,137.0
